system,completeness,lognr,noise,algo,metric,value,dimension,experiment
1_5,1,1,2,inductive,Best Align,0.703700375429347,Precision,1B
1_5,1,1,2,inductive,Behavioral Generalization,0.752310453141752,Generalization,1B
1_5,1,1,2,inductive,Behavioral Precision,0.477588939284613,Precision,1B
1_5,1,1,2,inductive,Behavioral Recall,0.804479878511769,Fitness,1B
1_5,1,1,2,inductive,One Align,0.653594079891008,Precision,1B
1_5,1,1,3,alpha,Alignment Based Fitness,0.206613970896447,Fitness,1B
1_5,1,1,3,alpha,Alignment Based Generalization,0.999939591987021,Generalization,1B
1_5,1,1,3,alpha,Alignment Based Precision,1,Precision,1B
1_5,1,1,3,alpha,Behavioral Generalization,0.221746755709901,Generalization,1B
1_5,1,1,3,alpha,Behavioral Precision,1,Precision,1B
1_5,1,1,3,alpha,Behavioral Recall,0.110762203825293,Fitness,1B
1_5,1,1,3,alpha,One Align,1,Precision,1B
1_5,1,1,3,alpha,Token Based Fitness,0.199434578418732,Fitness,1B
1_5,1,1,3,flower,Alignment Based Fitness,1,Fitness,1B
1_5,1,1,3,flower,Alignment Based Generalization,0.9999993181485,Generalization,1B
1_5,1,1,3,flower,Behavioral Generalization,1,Generalization,1B
1_5,1,1,3,flower,Behavioral Precision,0.13321756503408,Precision,1B
1_5,1,1,3,flower,Behavioral Recall,1,Fitness,1B
1_5,1,1,3,flower,One Align,0.382363453781083,Precision,1B
1_5,1,1,3,flower,Token Based Fitness,1,Fitness,1B
1_5,1,1,3,heuristics,Alignment Based Fitness,0.710508192296818,Fitness,1B
1_5,1,1,3,heuristics,Alignment Based Generalization,0.999174195924999,Generalization,1B
1_5,1,1,3,heuristics,Behavioral Generalization,0.280172886624074,Generalization,1B
1_5,1,1,3,heuristics,Behavioral Precision,0.419781462398,Precision,1B
1_5,1,1,3,heuristics,Behavioral Recall,0.763504297903384,Fitness,1B
1_5,1,1,3,heuristics,One Align,0.862431261997274,Precision,1B
1_5,1,1,3,ILP,Alignment Based Generalization,0,Generalization,1B
1_5,1,1,3,ILP,Behavioral Generalization,1,Generalization,1B
1_5,1,1,3,ILP,Behavioral Precision,0.13321756503408,Precision,1B
1_5,1,1,3,ILP,Behavioral Recall,1,Fitness,1B
1_5,1,1,3,ILP,One Align,0,Precision,1B
1_5,1,1,3,ILP,Token Based Fitness,1,Fitness,1B
1_5,1,1,3,inductive,Alignment Based Fitness,0.959500468075785,Fitness,1B
1_5,1,1,3,inductive,Best Align,0.454857527338289,Precision,1B
1_5,1,1,3,inductive,Behavioral Generalization,0.67345844566719,Generalization,1B
1_5,1,1,3,inductive,Behavioral Precision,0.520352746086408,Precision,1B
1_5,1,1,3,inductive,Behavioral Recall,0.775145113712056,Fitness,1B
1_5,1,1,3,inductive,One Align,0.475893832292944,Precision,1B
